blended_score,business_type,company_name,differentiation_indicator,evidence,evidence_urls,fit_confidence,homepage_used,is_construction_or_installation,is_fit_for_nivo,is_generic_distributor,is_hospitality_or_property_company,is_service_heavy,is_subsidiary_or_group_company,niche_indicator,operating_model,orgnr,pages_fetched_count,reason_summary,red_flags,repeat_purchase_indicator,scalable_business_indicator,stage1_total_score,tavily_used
86.2,product_company,Texstar AB,medium,Homepage: offers a variety of workwear products|About: provides tailored solutions for businesses|Products: extensive catalog of workwear with customization options,https://texstar.se/|https://texstar.se/for-foretag/|https://texstar.se/kollektion/,0.85,https://texstar.se,False,True,False,False,False,False,medium,manufacturer,5564551900,3,"Texstar AB specializes in hybrid workwear, offering a diverse range of products including work pants, shirts, and jackets designed for various professional needs. They provide tailored solutions for businesses, including custom branding and inventory management, indicating a strong product-led approach with potential for repeat purchases.",,high,medium,88.0,False
35.8,unknown,Fladen Fishing Aktiebolag,low,,,0.2,,False,False,False,False,False,False,low,unknown,5562146018,0,"The homepage fetch failed, resulting in no available evidence to assess the company's fit for Nivo. Without any content, it's impossible to determine business type or model.",,low,low,85.0,False
37.8,unknown,Nordiska Kök AB,low,,https://www.nordiskakok.se/,0.2,https://www.nordiskakok.se,False,False,False,False,False,False,low,unknown,5591098214,1,"The website does not provide sufficient information about products or services, making it unclear what the company offers. There are no identifiable products or business models evident from the homepage.",,low,low,90.0,False
33.7,unknown,Mille Notti AB,low,,,0.1,,False,False,False,False,False,False,low,unknown,5564282738,0,"The homepage fetch failed, and there is no available evidence to assess the company's fit for Nivo. Without any content, it's impossible to determine business type or model.",,low,low,82.0,False
69.8,product_company,Formenta AB,medium,"Homepage: offers a range of outdoor products including flagpoles and street furniture|About: family-owned since 1972, with a focus on innovation and sustainability|Products: includes items that suggest repeat purchases like street furniture and flagpoles",https://www.formenta.se|https://www.formenta.se/se/var-historia,0.75,https://www.formenta.se,False,True,False,False,False,True,medium,manufacturer,5564968039,2,"Formenta AB is a manufacturer of outdoor public environment products, including flagpoles and street furniture. The company has a strong heritage as a family business and has expanded internationally, indicating a scalable business model. Their focus on sustainable and innovative products enhances their differentiation in the market.",,medium,medium,62.0,False
78.2,product_company,Quadpak AB,high,Homepage: specializes in bag-in-box solutions and flexible packaging|About: focus on sustainable packaging and ISO certifications|Products: offers a variety of packaging products including Cheertainer and stand-up pouches,https://quadpak.se/|https://quadpak.se/about-us/|https://quadpak.se/products/,0.85,https://quadpak.se,False,True,False,False,False,False,medium,manufacturer,5566816632,3,"Quadpak AB specializes in innovative and sustainable flexible packaging solutions, particularly bag-in-box products, indicating a strong product focus. Their commitment to sustainability and quality, along with a diverse product range, supports repeat purchases and scalability.",,high,medium,68.0,False
25.45,unknown,KRYDDHUSET I LJUNG Aktiebolag,low,Homepage: minimal content|Products page: only mentions turmeric,https://kryddhuset.se/|https://kryddhuset.se/speciella-produkter/gurkmeja/,0.25,https://kryddhuset.se,False,False,False,False,False,False,low,unknown,5564169786,2,"The website evidence is minimal and lacks detailed information about products or business operations. The only product mentioned is turmeric, which does not provide sufficient evidence of a differentiated or scalable business model.",,low,low,58.0,False
30.6,service_company,Scandic Hotels Aktiebolag,low,,,0.2,,False,False,False,True,True,False,low,unknown,5562991009,0,"The homepage fetch failed, and there is no supporting evidence to assess the company's fit for Nivo. Given that Scandic Hotels operates in the hospitality sector, it is not suitable for Nivo's investment focus.",,low,low,72.0,False
29.8,service_company,Bravida Sverige AB,low,"Homepage: offers technical solutions for buildings and infrastructure|About: history as a construction and installation company since 1920s|Products: services include electrical, plumbing, and ventilation installations",https://www.bravida.se|https://www.bravida.se/om-bravida/bravidas-historia/|https://www.bravida.se/vart-erbjudande/,0.2,https://www.bravida.se,True,False,False,False,True,True,low,installer,5561974188,3,"The company primarily operates as an installation service provider for buildings and infrastructure, which does not align with Nivo's focus on product-led businesses. The text indicates a heavy reliance on service and installation without clear product ownership or differentiation.",Service-heavy business model|Focus on installation and maintenance services,low,low,70.0,False
34.7,unknown,Ahlsell Sverige AB,low,Homepage: wide range of professional products|About: collaborates with leading suppliers and offers own brands|Products: extensive list of brands available,https://www.ahlsell.se|https://www.ahlsell.se/varumarken/|https://www.ahlsell.se/butiker/,0.3,https://www.ahlsell.se,False,False,True,False,False,False,low,distributor,5560129206,3,"The company operates as a distributor for various professional products, but the evidence suggests a generic distribution model without strong differentiation or unique products. The focus on a wide range of brands and products indicates a lack of niche specialization.",Generic distributor model,medium,medium,80.0,False
