blended_score,business_type,company_name,differentiation_indicator,evidence,evidence_urls,fit_confidence,homepage_used,is_construction_or_installation,is_fit_for_nivo,is_generic_distributor,is_hospitality_or_property_company,is_service_heavy,is_subsidiary_or_group_company,niche_indicator,operating_model,orgnr,pages_fetched_count,reason_summary,red_flags,repeat_purchase_indicator,scalable_business_indicator,stage1_total_score,tavily_used
86.2,product_company,Texstar AB,medium,Homepage: offers a variety of workwear products|About: provides tailored solutions for businesses including inventory management|Products: extensive catalog of workwear with customization options,https://texstar.se/|https://texstar.se/for-foretag/|https://texstar.se/kollektion/,0.85,https://texstar.se,False,True,False,False,False,False,medium,manufacturer,5564551900,3,"Texstar AB specializes in hybrid workwear, offering a wide range of products including pants, shirts, and jackets designed for various professional environments. Their business model includes customization and inventory management for corporate clients, indicating a scalable and differentiated approach in the workwear market.",,high,medium,88.0,False
36.25,unknown,Fladen Fishing Aktiebolag,low,,https://xk.kompass.com/en/c/fladen-fishing-aktiebolag/secom000122/|https://www.bloomberg.com/profile/company/8680442Z:SS|https://www.naturvardsverket.se/492f01/globalassets/producentansvarsregistret/producenter.xlsx,0.25,,False,False,False,False,False,False,low,unknown,5562146018,0,"The homepage fetch failed, and the available snippets provide limited information. While it mentions wholesale distribution of fishing gear, there is no evidence of identifiable products or a strong business model.",,low,low,85.0,True
87.0,product_company,Nordiska Kök AB,high,"Homepage: bespoke kitchens crafted locally|About: digital kitchen company with a unique business model|Products: tailored cabinets and drawers, delivery across Europe",https://www.nordiskakok.se/|https://www.linkedin.com/company/nordiska-k%C3%B6k/|https://www.nordiskakok.com/about-us|https://lu.kompass.com/c/platsbyggda-kok-i-norden-ab/secom781117/,0.85,https://www.nordiskakok.se,False,True,False,False,False,False,high,manufacturer,5591098214,2,"Nordiska Kök AB specializes in bespoke kitchen manufacturing, offering fully customized products crafted locally. Their digital-first approach and focus on Scandinavian design differentiate them in the market, indicating a strong potential for scalability and repeat purchases.",,medium,high,90.0,True
77.8,product_company,Mille Notti AB,high,"About: family-run business since 1991|About: Purveyor to the Royal Court of Sweden since 2011|Products: exclusive bed linens, duvets, pillows, towels, and bed accessories.",https://mille-notti.com/about-us/corporate-information|https://mille-notti.com/timeless-collection|https://mille-notti.com/about-us|https://www.mille-notti.com/about-us/corporate-information|https://www.mille-notti.com/about-us|https://www.mille-notti.com/customer-service/shipping-and-returns/terms-conditions,0.75,https://www.mille-notti.com/about-us/corporate-information,False,True,False,False,False,False,medium,brand_owner,5564282738,3,"Mille Notti AB is a family-run business specializing in premium bed and bath products, recognized as the Purveyor to the Royal Court of Sweden. They emphasize quality and design, indicating a differentiated product offering with potential for repeat purchases.",,medium,medium,82.0,True
36.2,unknown,AB Poly-Produkter,low,,https://xk.kompass.com/en/c/ab-poly-produkter/se154925/|https://www.av.se/om-oss/diarium-och-allmanna-handlingar/bestall-handlingar/Company/?orgnr=5565636353|https://www.polyprodukter.se/contact-us/?lang=en|https://www.av.se/om-oss/om-webbplatsen/cookies/|https://www.av.se/om-oss/diarium-och-allmanna-handlingar/bestall-handlingar/bestall-handling-varukorg/,0.2,https://www.av.se/om-oss/diarium-och-allmanna-handlingar/bestall-handlingar/Company/?orgnr=5565636353,False,False,False,False,False,False,low,unknown,5565636353,3,"The website fetch failed, and available snippets do not provide clear evidence of a product-led business model or identifiable products. Most information relates to corporate registration and inspection without product details.",,low,low,86.0,True
79.8,product_company,Quadpak AB,high,Homepage: flexible packaging manufacturer with bag-in-box solutions|About: focus on sustainable packaging and technical development|Products: diverse range of packaging products including Cheertainer and stand-up pouches,https://quadpak.se/|https://quadpak.se/about-us/|https://quadpak.se/products/,0.85,https://quadpak.se,False,True,False,False,False,False,medium,manufacturer,5566816632,3,"Quadpak AB is a manufacturer of innovative and sustainable flexible packaging solutions, specializing in bag-in-box products. They have a strong focus on quality and sustainability, with a diverse product range and plans for capacity expansion, indicating a scalable business model.",,medium,high,72.0,False
82.2,product_company,Thule Sweden AB,high,Homepage: offers a range of outdoor and transportation products|About: Thule Test Center ensures high safety and durability standards|Products: features dog crates designed for safety and comfort,https://www.thule.com/sv-se/|https://www.thule.com/sv-se/about-thule/thule-test-center|https://www.thule.com/sv-se/dog-products/dog-crates,0.85,https://www.thule.com/sv-se,False,True,False,False,False,False,high,manufacturer,5565281427,3,"Thule Sweden AB is a manufacturer of specialized outdoor and transportation products, including bike racks, roof boxes, and dog crates, which indicates a strong product-led business model. Their rigorous testing standards and focus on safety further differentiate their offerings in the market.",,medium,high,78.0,False
39.05,unknown,Atlas Copco AB,low,,https://www.atlascopco.com,0.25,https://www.atlascopco.com,False,False,False,False,False,False,low,unknown,5560000841,1,The website excerpt is generic and lacks specific details about identifiable products or a clear operating model. It primarily describes the company as a provider of productivity solutions without evidence of differentiation or niche focus.,,low,low,92.0,False
87.0,product_company,Alfa Laval Corporate AB,high,"Homepage: specializes in heat transfer, separation, and fluid handling solutions|About: committed to sustainability and innovation in essential industries|Products: EnSaLine agitators designed for energy efficiency and smart connectivity",https://www.alfalaval.com|https://www.alfalaval.com/about-us/impact-summary/|https://www.alfalaval.com/products/fluid-handling/mixing-equipment/agitators/effortless-mixing-an-easier-way-to-agitator-performance/,0.85,https://www.alfalaval.com,False,True,False,False,False,False,high,manufacturer,5560069463,3,"Alfa Laval is a manufacturer of specialized equipment for heat transfer, separation, and fluid handling, with a strong focus on innovation and sustainability. Their products, such as the EnSaLine agitators, demonstrate significant energy savings and efficiency, indicating a differentiated and scalable business model. The company operates in essential industries like food production and water treatment, suggesting a potential for repeat purchases.",,medium,high,90.0,False
84.6,product_company,Getinge AB,high,"Homepage: advanced medical technology solutions|Products: ECMO systems, mechanical ventilation, patient monitoring solutions|About: commitment to improving patient care and operational efficiency in healthcare settings",https://www.getinge.com/se/|https://www.getinge.com/se/foretag/bolagsstyrning/oversikt/|https://www.getinge.com/se/produkter-och-losningar/intensivvard/,0.85,https://www.getinge.com/se,False,True,False,False,False,False,high,manufacturer,5560296968,3,"Getinge AB is a manufacturer of advanced medical technology solutions, focusing on intensive care and surgical environments. They offer a range of identifiable products such as ECMO systems and mechanical ventilators, indicating a strong product-led model with potential for repeat purchases and scalability.",,medium,high,84.0,False
83.0,product_company,Elekta AB,high,Homepage: focuses on innovative cancer care solutions|About: 50 years of innovation in radiotherapy|Products: advanced imaging and treatment systems like Gamma Knife and MR-Linac,https://www.elekta.com|https://www.elekta.com/company/|https://www.elekta.com/products/imaging/see-whats-possible/,0.85,https://www.elekta.com,False,True,False,False,False,False,high,manufacturer,5560168616,3,"Elekta AB specializes in innovative radiotherapy solutions for cancer care, demonstrating a strong product focus with advanced imaging technologies and treatment systems. Their long history of innovation and commitment to precision treatment indicates a differentiated and scalable business model.",,medium,high,80.0,False
85.4,product_company,SCA Forest Products AB,high,Homepage: offers a variety of wood products and renewable energy solutions|About: Europe's largest private forest owner with a well-developed value chain|Products: high-tech sawmills producing timber for global markets,https://www.sca.com/sv/|https://www.sca.com/sv/om-oss/|https://www.sca.com/sv/traprodukter/,0.85,https://www.sca.com/sv,False,True,False,False,False,False,high,manufacturer,5567370431,3,"SCA Forest Products AB operates in the forestry and wood products sector, with a strong focus on sustainability and innovation. They produce a range of products including timber, packaging paper, and renewable energy, leveraging their extensive forest holdings. Their business model is well-defined and scalable, indicating a strong fit for Nivo.",,medium,high,86.0,False
86.2,product_company,Volvo AB,high,Homepage: leading supplier of commercial transport and infrastructure solutions|About: distinct brands targeting different customers and markets|Products: commitment to sustainable transportation and electrification solutions,https://www.volvogroup.com/en/|https://www.volvogroup.com/en/about-us/brands.html|https://www.volvogroup.com/en/sustainable-transportation/sustainable-solutions.html,0.85,https://www.volvogroup.com/en,True,True,False,False,True,False,high,manufacturer,5560003468,3,"Volvo AB is a leading manufacturer of trucks, buses, and construction equipment, with a strong focus on sustainable solutions and innovation. Their diverse brand portfolio and commitment to electrification and safety indicate a differentiated and scalable business model.",,medium,high,88.0,False
87.0,product_company,Sandvik AB,high,"Homepage: global engineering group with solutions for manufacturing, mining, and infrastructure|About: approximately 42,000 employees and 121 billion SEK in revenues|Offerings: products and solutions for mining, rock excavation, and component manufacturing based on innovation and sustainability.",https://www.home.sandvik|https://www.home.sandvik/en/about-us/|https://www.home.sandvik/en/offerings/,0.85,https://www.home.sandvik,False,True,False,False,False,False,high,manufacturer,5560197460,3,"Sandvik AB is a global high-tech engineering group providing innovative solutions for the manufacturing, mining, and infrastructure industries. They have a strong focus on sustainability and digitalization, indicating a differentiated product offering. Their significant revenues and employee count suggest scalability and repeat business potential.",,medium,high,90.0,False
28.25,product_company,Formenta AB,medium,"Homepage: offers a range of outdoor products including flagpoles and street furniture|About: family-owned for three generations, established focus on sustainable products|Products: includes items like lighting poles and park furniture, indicating a product-led approach",https://www.formenta.se|https://www.formenta.se/se/var-historia,0.25,https://www.formenta.se,False,False,False,False,False,True,medium,manufacturer,5564968039,2,"Formenta AB manufactures products for public outdoor environments, including flagpoles and street furniture, indicating a product-led business model. However, the presence of a parent company (Formenta Group) and the focus on public installations may limit its fit for Nivo. The evidence suggests a solid product offering but lacks strong differentiation or repeat purchase indicators.",Parent/group branding present,medium,medium,65.0,False
69.0,product_company,KRYDDHUSET I LJUNG Aktiebolag,medium,Homepage: family-owned company with over 25 years of experience|Products: diverse range of gourmet spices and specialty products|TAVILY_SNIPPET: offers creative flavor experiences for home cooks and culinary professionals,https://kryddhuset.se/|https://kryddhuset.se/speciella-produkter/gurkmeja/|https://usetorg.com/suppliers/8Tu35IPK/kryddhuset-i-ljung-ab|https://www.naturvardsverket.se/4957bb/globalassets/producentansvarsregistret/producenter.xlsx|https://www.naturvardsverket.se/49d94d/globalassets/producentansvarsregistret/anmalda-foretag_for-kostnadsforslag.xlsx,0.75,https://kryddhuset.se,False,True,False,False,False,False,medium,manufacturer,5564169786,4,"Kryddhuset i Ljung AB specializes in high-quality spices and seasonings, indicating a product-led business model. They offer a diverse range of gourmet spices and specialty products, which suggests potential for repeat purchases and scalability. The company has over 25 years of experience and emphasizes sustainable practices, enhancing its differentiation in the market.",,high,medium,60.0,True
29.0,service_company,Cramo AB,low,Homepage: equipment rental services|TAVILY_SNIPPET: construction tools and equipment rental,https://www.cramo.se|https://www.cramo.com/|https://www.cramo.se/en,0.2,https://www.cramo.se,True,False,False,False,True,False,low,installer,5560337136,2,"The company primarily offers equipment rental services for construction, which suggests a service-heavy model focused on installation rather than product ownership. There is no evidence of identifiable products or brands that indicate a strong fit for Nivo.",service-heavy model focused on installation,low,low,68.0,True
30.25,service_company,Loomis Sverige AB,low,Homepage: specializes in cash handling and secure transport|Products: offers foreign exchange services and cash management solutions,https://se.loomis.com/sv-se/|https://se.loomis.com/sv-se/products/foreign-exchange|https://se.loomis.com/sv-se/locations,0.25,https://se.loomis.com/sv-se,False,False,False,False,True,True,low,unknown,5561210560,3,"The company primarily provides cash handling and secure transport services, which are service-heavy and lack identifiable product ownership. It operates as part of a larger group, indicating a subsidiary structure. The evidence does not strongly support a differentiated product-led business model suitable for Nivo.",Parent/group branding|Service-heavy model with no clear product differentiation,medium,medium,70.0,False
31.05,service_company,Bring Sverige AB,low,Homepage: logistics and delivery services|About: focus on customer experience and sustainability in delivery|Products: Svanenmärkta (eco-labeled) delivery services,https://www.bring.se|https://www.bring.se/foretag|https://www.bring.se/kundservice,0.25,https://www.bring.se,False,False,False,False,True,False,low,unknown,5560444153,3,"The company primarily operates as a logistics and delivery service, which is service-heavy and lacks identifiable product ownership or manufacturing. There is no strong evidence of differentiation or niche focus, and the content is somewhat generic.",,medium,medium,72.0,False
35.8,service_company,Telenor Sverige AB,low,"Homepage: offers mobile, broadband & TV services|About: Telenor is Sweden's third largest mobile operator|About: provides fixed broadband services to Swedish consumers",https://www.telenor.se|https://www.datarequests.org/company/telenor-se/|https://www.telenor.com/who-we-are/our-companies/nordics/telenor-sweden/|https://en.wikipedia.org/wiki/Telenor_Sverige,0.2,https://www.telenor.se,False,False,False,False,True,True,low,unknown,5560957432,2,"The company primarily operates as a telecommunications service provider, which is generally considered service-heavy and lacks identifiable product differentiation. It is also a subsidiary of a larger group, which raises concerns about its fit for Nivo.",Parent/group branding present,medium,medium,85.0,True
80.6,product_company,Dustin AB,high,Homepage: offers a wide range of IT products and services|About: has multiple own brands like Voxicon and Cirafon|Products: includes consumables and managed services indicating repeat purchases,https://www.dustin.se|https://www.dustin.se/om-dustin/vara-egna-varumarken|https://www.dustin.se/group/hardvara,0.85,https://www.dustin.se,False,True,False,False,True,False,medium,brand_owner,5561776089,3,"Dustin AB operates as a product company with a strong focus on IT products and services, including their own brands. They offer a wide range of products and have a clear strategy for sustainability and product development, indicating a differentiated and scalable business model.",,high,high,74.0,False
