orgnr,company_name,rank,is_fit_for_nivo,fit_confidence,blended_score,business_type,operating_model,reason_summary,triage_official_url,llm_triage_at
556458-3051,Kafab Förpackning Aktiebolag,22,true,0.8,84.1885,product_company,manufacturer,"Kafab Förpackning is a manufacturer of packaging solutions, indicating a strong product focus with potential for repeat purchases. Its comprehensive service offerings enhance its market position.",https://frontpac.com,2026-03-25 15:36:09.189052+00:00
556690-1285,Galdax AB,31,true,0.8,83.6538,product_company,manufacturer,"Galdax AB manufactures eco-friendly truck tires, indicating a strong product focus with a niche market. Their production of retreaded tires suggests repeat purchases.",https://www.galdax.se,2026-03-25 15:36:09.189052+00:00
556343-7200,Talurit Aktiebolag,32,true,0.8,83.4973,product_company,manufacturer,"Talurit specializes in wire rope equipment, indicating a strong product focus with potential for repeat purchases. Their long-standing industry presence enhances credibility.",https://www.talurit.com,2026-03-25 15:36:09.189052+00:00
556295-4569,Umlax Aktiebolag,54,true,0.8,82.2886,product_company,manufacturer,"Umlax Aktiebolag is a leading producer of mountain char with a focus on research and business, indicating a strong product-led model. They have a significant workforce and multiple facilities, suggesting scalability and differentiation in their niche market.",https://umlax.se/,2026-03-25 15:36:09.189052+00:00
556314-8153,Comex Electronics Aktiebolag,71,true,0.8,81.9287,product_company,manufacturer,"Comex Electronics Aktiebolag specializes in high-security IT solutions for defense and government sectors, indicating a strong product focus and high differentiation. Their comprehensive offerings and established reputation suggest scalability and potential for repeat business.",https://www.comex.se/,2026-03-25 15:36:09.189052+00:00
556371-8526,Norteam AB,92,true,0.8,81.4224,product_company,software,"Norteam AB focuses on cloud-based IT solutions, leveraging Microsoft technologies. Their emphasis on tailored solutions and IT support indicates a product-led approach.",https://www.norteam.se,2026-03-25 15:36:09.189052+00:00
556546-2206,Reason Studios Aktiebolag,107,true,0.8,81.1327,product_company,software,"Reason Studios develops a comprehensive music production software called Reason, which functions as a virtual rack for creating music. This indicates a strong product focus and potential for repeat purchases.",https://www.reasonstudios.com,2026-03-25 15:36:09.189052+00:00
556472-5447,Cegeka Applications AB,124,true,0.8,80.8603,product_company,software,"Cegeka is an IT company offering various technology solutions, indicating a strong product focus with potential for repeat purchases and scalability.",https://www.cegeka.com,2026-03-25 15:36:09.189052+00:00
556076-0497,MEMO AB,144,true,0.8,80.3305,product_company,manufacturer,"MEMO AB manufactures specialized plastic components for industrial products, indicating a strong product focus and potential for repeat purchases.",https://memo.se,2026-03-25 15:36:09.189052+00:00
556455-8244,GMV Sweden Aktiebolag,175,true,0.8,79.6651,product_company,manufacturer,"GMV Sweden AB is a manufacturer of elevators and components, indicating a strong product focus and potential for repeat purchases.",https://www.gmv.se,2026-03-25 15:36:09.189052+00:00
556198-1308,Busch Pfeiffer Vacuum AB,177,true,0.8,79.6429,product_company,manufacturer,"Busch Pfeiffer Vacuum AB specializes in vacuum pumps and systems, indicating a strong product-led business model with high differentiation and repeat purchase potential.",https://www.buschvacuum.com/se/sv/,2026-03-25 15:36:09.189052+00:00
556132-1745,Fillauer Europe AB,199,true,0.8,79.3084,product_company,manufacturer,"Fillauer Europe AB specializes in innovative orthotic and prosthetic products, indicating a strong product focus and differentiation in the healthcare sector.",https://fillauer.com,2026-03-25 15:36:09.189052+00:00
556762-5495,Panthera AB,214,true,0.8,79.0494,product_company,manufacturer,"Panthera AB manufactures lightweight wheelchairs and offers a range of products, indicating a strong product focus. They also distribute specific back systems, which supports a differentiated business model.",https://www.panthera.se,2026-03-25 15:36:09.189052+00:00
556924-1671,Pelago Bioscience AB,234,true,0.8,78.7033,product_company,manufacturer,"Pelago Bioscience offers a unique CETSA® technology used in drug development, indicating a strong product focus and repeat business with major pharmaceutical clients.",https://www.pelagobio.com,2026-03-25 15:36:09.189052+00:00
556629-8203,Traryds Metall AB,243,true,0.8,78.5666,product_company,manufacturer,"Traryds Metall AB is a manufacturer of precision components in brass and other metals, offering products like valves and couplings. Their focus on high quality and customization indicates a strong product-led business model.",https://www.trarydsmetall.se,2026-03-25 15:36:09.189052+00:00
556108-9284,Hammarplast Medical Aktiebolag,244,true,0.8,78.5617,product_company,manufacturer,"Hammarplast Medical is a leading manufacturer of medical technology products and packaging solutions, focusing on quality and innovation for healthcare needs. Their product range includes disposable items, indicating a strong repeat purchase model.",https://hpm.se,2026-03-25 15:36:09.189052+00:00
556527-9279,Olsbergs Electronics AB,246,true,0.8,78.5158,product_company,manufacturer,"Olsbergs Electronics AB manufactures electronic control systems for mobile hydraulics, focusing on innovation and user-friendliness. Their specialized products indicate a strong niche and potential for repeat business.",https://www.olsbergs.com,2026-03-25 15:36:09.189052+00:00
556509-0148,Swedish Oat Fiber Aktiebolag,248,true,0.8,78.4895,product_company,manufacturer,"Swedish Oat Fiber is a leading supplier of unique oat products, indicating a strong product-led business model with high differentiation and repeat purchase potential across various industries.",https://www.swedishoatfiber.se,2026-03-25 15:36:09.189052+00:00
556035-5926,Aktiebolaget Cernelle.,258,true,0.8,78.3988,product_company,manufacturer,"Cernelle specializes in medical pollen extracts, indicating a strong product-led focus with high differentiation and repeat purchase potential due to pharmaceutical applications.",https://cernelle.eu,2026-03-25 15:36:09.189052+00:00
556193-7086,"KAMI, Kalix Mekaniska Industrier Aktiebolag",263,true,0.8,78.3433,product_company,manufacturer,"KAMI manufactures specialized profiled sheet metal roofs, indicating a strong product focus with high differentiation and potential for repeat purchases in construction.",https://kami.se,2026-03-25 15:36:09.189052+00:00
556488-5720,Actil Warehouse Trucks AB,270,true,0.8,78.2891,product_company,manufacturer,"Actil Warehouse Trucks manufactures warehouse equipment, indicating a strong product focus with high differentiation and potential for repeat purchases in logistics.",https://actil.se,2026-03-25 15:36:09.189052+00:00
