blended_score,business_type,company_name,differentiation_indicator,evidence,evidence_urls,fit_confidence,homepage_used,is_construction_or_installation,is_fit_for_nivo,is_generic_distributor,is_hospitality_or_property_company,is_service_heavy,is_subsidiary_or_group_company,niche_indicator,operating_model,orgnr,pages_fetched_count,reason_summary,red_flags,repeat_purchase_indicator,scalable_business_indicator,stage1_total_score,tavily_used
86.2,product_company,Texstar AB,medium,"Homepage: offers a variety of workwear products including pants, jackets, and shirts|About: emphasizes tailored solutions for businesses and custom branding options|Products: features a wide range of sizes and styles, indicating a focus on customer needs and preferences",https://texstar.se/|https://texstar.se/for-foretag/|https://texstar.se/kollektion/,0.85,https://texstar.se,False,True,False,False,False,False,medium,manufacturer,5564551900,3,"Texstar AB specializes in hybrid workwear, offering a wide range of clothing products designed for various professional needs. They provide tailored solutions for businesses, including custom branding and inventory management, indicating a strong product-led model with repeat purchase potential.",,high,high,88.0,False
36.25,unknown,Fladen Fishing Aktiebolag,low,,https://xk.kompass.com/en/c/fladen-fishing-aktiebolag/secom000122/|https://www.bloomberg.com/profile/company/8680442Z:SS|https://www.naturvardsverket.se/492f11/globalassets/producentansvarsregistret/producenter.xlsx,0.25,,False,False,False,False,False,False,low,unknown,5562146018,0,"The homepage fetch failed, and the available snippets do not provide sufficient evidence of a differentiated product or business model. The company appears to be involved in wholesale distribution of fishing gear, which lacks clarity on product ownership or unique offerings.",,low,low,85.0,True
38.25,unknown,Nordiska Kök AB,low,Homepage: bespoke quality kitchens in Scandinavian design|About: crafted locally in carpentry studio,https://www.nordiskakok.se/|https://lu.kompass.com/c/platsbyggda-kok-i-norden-ab/secom781117/|https://www.nordiskakok.com/about-us,0.25,https://www.nordiskakok.se,True,False,False,False,False,False,low,unknown,5591098214,1,"The evidence primarily indicates a focus on bespoke kitchen construction, which suggests a service-heavy model rather than a product-led business. There are no clear indicators of repeat purchases or scalable channels.",appears to be installation-only,low,low,90.0,True
77.8,product_company,Mille Notti AB,high,About: Purveyor to the Royal Court of Sweden since 2011|About: Products designed in Sweden and crafted in Europe|Production: 100% of bed linen and terry cloth products are OEKO-TEX® certified.,https://mille-notti.com/about-us/corporate-information|https://mille-notti.com/about-us|https://mille-notti.com/about-us/our-production|https://www.mille-notti.com/about-us/corporate-information|https://www.mille-notti.com/about-us|https://www.mille-notti.com/customer-service/shipping-and-returns/terms-conditions,0.75,https://www.mille-notti.com/about-us/corporate-information,False,True,False,False,False,False,medium,brand_owner,5564282738,3,"Mille Notti AB is a brand owner specializing in premium bed and bath products, with a strong emphasis on quality and ethical production. The company has a notable distinction as Purveyor to the Royal Court of Sweden, indicating a high level of brand prestige and differentiation. Their focus on sustainable materials and certifications supports a repeat purchase model.",,medium,medium,82.0,True
27.05,product_company,Formenta AB,medium,"Homepage: offers a range of outdoor products including flagpoles and street furniture.|About: family-owned for three generations, with a focus on sustainable public outdoor environments.",https://www.formenta.se|https://www.formenta.se/se/var-historia,0.25,https://www.formenta.se,False,False,False,False,False,True,medium,manufacturer,5564968039,2,"Formenta AB manufactures products for public outdoor environments, including flagpoles and street furniture, indicating a product-led model. However, it is part of a larger group, which raises concerns about its independence and focus. The evidence suggests a solid product offering but lacks strong differentiation and repeat purchase indicators.","Part of Formenta Group, indicating potential subsidiary status.",medium,medium,62.0,False
78.2,product_company,Quadpak AB,high,Homepage: manufacturer of flexible packaging solutions|About: focus on sustainable packaging and technical innovations|Products: diverse range of bag-in-box and flexible packaging products,https://quadpak.se/|https://quadpak.se/about-us/|https://quadpak.se/products/,0.85,https://quadpak.se,False,True,False,False,False,False,high,manufacturer,5566816632,3,"Quadpak AB is a manufacturer of innovative and sustainable flexible packaging solutions, specifically bag-in-box products. They have a diverse product range and are expanding capacity, indicating scalability and a focus on repeat purchases in various industries.",,medium,high,68.0,False
68.2,product_company,KRYDDHUSET I LJUNG Aktiebolag,medium,Homepage: family-owned company with over 25 years of experience|Products: diverse range of gourmet spices and specialty products|TAVILY_SNIPPET: includes specific spice products and mixes,https://kryddhuset.se/|https://kryddhuset.se/speciella-produkter/gurkmeja/|https://usetorg.com/suppliers/8Tu35IPK/kryddhuset-i-ljung-ab|https://www.naturvardsverket.se/49d94d/globalassets/producentansvarsregistret/anmalda-foretag_for-kostnadsforslag.xlsx|https://www.naturvardsverket.se/4957bb/globalassets/producentansvarsregistret/producenter.xlsx,0.75,https://kryddhuset.se,False,True,False,False,False,False,medium,manufacturer,5564169786,4,"Kryddhuset i Ljung AB is a family-owned company specializing in high-quality spices and seasonings with a diverse product range including gourmet spices and marinades. They have a strong commitment to sustainability and cater to both home cooks and culinary professionals, indicating a differentiated product offering with potential for repeat purchases.",,high,medium,58.0,True
30.6,service_company,Scandic Hotels Aktiebolag,low,"About: largest Nordic hotel operator with 280 hotels and 58,000 rooms|About: Scandic Friends is the biggest loyalty program in the Nordic hotel sector|Homepage: failed to fetch, but known as a hotel chain",https://www.scandichotelsgroup.com/contact-us/scandics-offices/|https://www.scandichotelsgroup.com/our-company/|https://en.wikipedia.org/wiki/Scandic_Hotels|https://www.scandichotelsgroup.com/our-company/in-brief/,0.2,https://www.scandichotelsgroup.com/contact-us/scandics-offices,False,False,False,True,True,True,low,unknown,5562991009,2,"The company operates as a hotel chain, which is categorized under hospitality and property management, making it less suitable for Nivo's investment focus. The evidence primarily describes its hotel operations without clear product differentiation or scalable business models.",hospitality or property company,medium,low,72.0,True
29.8,service_company,Bravida Sverige AB,low,"Homepage: offers energy-efficient technical solutions for buildings|About: formed from a merger of installation companies|Products: services include electrical, heating, plumbing, and ventilation installations",https://www.bravida.se|https://www.bravida.se/om-bravida/bravidas-historia/|https://www.bravida.se/vart-erbjudande/,0.2,https://www.bravida.se,True,False,False,False,True,True,low,installer,5561974188,3,"The company primarily operates as an installation service provider for buildings and infrastructure, which does not align with Nivo's focus on product-led businesses. The evidence suggests a heavy reliance on service and installation rather than identifiable products or brands.",Service-heavy business model|Installation-focused operations,low,low,70.0,False
34.7,unknown,Ahlsell Sverige AB,medium,Homepage: offers a wide range of products for professionals|About: collaborates with leading suppliers and has own brands,https://www.ahlsell.se|https://www.ahlsell.se/varumarken/|https://www.ahlsell.se/butiker/,0.3,https://www.ahlsell.se,False,False,True,False,False,False,low,distributor,5560129206,3,"The company operates as a distributor with a wide range of products for professionals, but it lacks clear differentiation and identifiable proprietary products. It appears to be primarily a distributor rather than a manufacturer or brand owner.",Generic distributor model,medium,medium,80.0,False
