blended_score,business_type,company_name,differentiation_indicator,evidence,evidence_urls,fit_confidence,homepage_used,is_construction_or_installation,is_fit_for_nivo,is_generic_distributor,is_hospitality_or_property_company,is_service_heavy,is_subsidiary_or_group_company,niche_indicator,operating_model,orgnr,pages_fetched_count,reason_summary,red_flags,repeat_purchase_indicator,scalable_business_indicator,stage1_total_score,tavily_used
86.2,product_company,Texstar AB,medium,Homepage: offers a variety of workwear products|About: provides tailored solutions for businesses|Products: extensive catalog of workwear with customization options,https://texstar.se/|https://texstar.se/for-foretag/|https://texstar.se/kollektion/,0.85,https://texstar.se,False,True,False,False,False,False,medium,manufacturer,5564551900,3,"Texstar AB specializes in hybrid workwear, offering a wide range of products including pants, shirts, and jackets designed for various professional needs. They provide tailored solutions for businesses, including custom branding and inventory management, indicating a strong product-led model with potential for repeat purchases.",,high,medium,88.0,False
35.8,unknown,Fladen Fishing Aktiebolag,low,"TAVILY_SNIPPET: wholesale distribution of sporting and recreation goods|TAVILY_SNIPPET: offers a variety of fishing gear including rods, lures",https://xk.kompass.com/en/c/fladen-fishing-aktiebolag/secom000122/|https://www.bloomberg.com/profile/company/8680442Z:SS|https://www.naturvardsverket.se/49d94d/globalassets/producentansvarsregistret/anmalda-foretag_for-kostnadsforslag.xlsx,0.2,,False,False,True,False,False,False,low,unknown,5562146018,0,"The website fetch failed, and available snippets indicate that Fladen Fishing Aktiebolag primarily engages in wholesale distribution of fishing gear, which suggests a generic distribution model. There is insufficient evidence of unique products or a differentiated business model.",generic wholesale distribution model,low,low,85.0,True
87.0,product_company,Nordiska Kök AB,high,"Homepage: bespoke kitchens crafted locally|About: digital kitchen company offering unique designs|Products: tailored cabinets and drawers, delivery across Europe",https://www.nordiskakok.se/|https://www.linkedin.com/company/nordiska-k%C3%B6k/|https://www.nordiskakok.com/about-us|https://lu.kompass.com/c/platsbyggda-kok-i-norden-ab/secom781117/,0.85,https://www.nordiskakok.se,False,True,False,False,False,False,high,manufacturer,5591098214,2,"Nordiska Kök AB specializes in bespoke kitchen manufacturing, emphasizing a digital-first approach that allows for customization and competitive pricing. Their unique selling proposition includes fully tailored kitchens crafted locally, which positions them well in the market.",,medium,high,90.0,True
77.8,product_company,Mille Notti AB,high,"About: family-run business since 1991|About: Purveyor to the Royal Court of Sweden since 2011|Products: exclusive bed linens, duvets, pillows, towels, and bed accessories",https://mille-notti.com/about-us/corporate-information|https://mille-notti.com/timeless-collection|https://mille-notti.com/about-us|https://www.mille-notti.com/about-us/corporate-information|https://www.mille-notti.com/about-us|https://www.mille-notti.com/customer-service/shipping-and-returns/terms-conditions,0.75,https://www.mille-notti.com/about-us/corporate-information,False,True,False,False,False,False,medium,brand_owner,5564282738,3,"Mille Notti AB offers a range of premium bed and bath products designed in Sweden, indicating a strong brand identity and differentiation. The company has a history of quality craftsmanship and holds the title of Purveyor to the Royal Court of Sweden, enhancing its prestige. Evidence of repeat purchases is suggested through their product offerings and customer service policies.",,medium,medium,82.0,True
69.8,product_company,Formenta AB,high,"Homepage: offers a range of outdoor products including flagpoles and street furniture|About: family-owned for three generations, established in 1972, with a focus on sustainable products|Products: includes flagpoles, lighting poles, and various street furniture items, indicating a differentiated product offering",https://www.formenta.se|https://www.formenta.se/se/var-historia,0.75,https://www.formenta.se,False,True,False,False,False,True,medium,manufacturer,5564968039,2,"Formenta AB is a manufacturer of outdoor public environment products, including flagpoles, lighting poles, and street furniture. The company has a strong history, being family-owned for three generations, and has established itself as a premium brand with a focus on sustainability and innovation. Their products are distributed in nearly 40 countries, indicating a scalable business model.",,medium,high,62.0,False
78.2,product_company,Quadpak AB,high,Homepage: flexible packaging manufacturer with bag-in-box solutions|About: focus on sustainable packaging and ISO certifications|Products: diverse range of packaging products including Cheertainer and stand-up pouches,https://quadpak.se/|https://quadpak.se/about-us/|https://quadpak.se/products/,0.85,https://quadpak.se,False,True,False,False,False,False,medium,manufacturer,5566816632,3,"Quadpak AB is a manufacturer of innovative and sustainable flexible packaging solutions, particularly focusing on bag-in-box products. They have a diverse product range and are expanding their capacity, indicating a scalable business model. Their commitment to sustainability and quality certifications further supports their differentiation in the market.",,medium,high,68.0,False
68.2,product_company,KRYDDHUSET I LJUNG Aktiebolag,medium,"Homepage: family-owned company with over 25 years of experience|Products: includes gourmet spices, marinades, and specialty products|TAVILY_SNIPPET: diverse product range catering to home cooks and culinary professionals",https://kryddhuset.se/|https://kryddhuset.se/speciella-produkter/gurkmeja/|https://usetorg.com/suppliers/8Tu35IPK/kryddhuset-i-ljung-ab|https://www.naturvardsverket.se/4957bb/globalassets/producentansvarsregistret/producenter.xlsx|https://www.naturvardsverket.se/49d94d/globalassets/producentansvarsregistret/anmalda-foretag_for-kostnadsforslag.xlsx,0.75,https://kryddhuset.se,False,True,False,False,False,False,medium,manufacturer,5564169786,4,"Kryddhuset i Ljung AB is a family-owned company specializing in high-quality spices and seasonings, with a diverse product range that includes gourmet spices and specialty products. The presence of multiple unique spice products indicates a differentiated offering and potential for repeat purchases.",,high,medium,58.0,True
30.6,service_company,Scandic Hotels Aktiebolag,low,"TAVILY_SNIPPET: largest Nordic hotel operator with about 280 hotels and 58,000 rooms|TAVILY_SNIPPET: Scandic Go is a central part of Scandic’s growth strategy|TAVILY_SNIPPET: Scandic Friends is the biggest loyalty program in the Nordic hotel sector",https://www.scandichotelsgroup.com/our-company/organisation-and-management/|https://www.scandichotelsgroup.com/our-company/|https://www.scandichotelsgroup.com/|https://www.scandichotels.com/en/about/scandic-hotels|https://www.scandichotelsgroup.com/sv/vart-foretag/organisation-och-ledning/,0.2,https://www.scandichotelsgroup.com/our-company/organisation-and-management,False,False,False,True,True,True,low,unknown,5562991009,3,"The company operates as a hotel chain, which is typically considered a hospitality or property company and does not fit the product-led criteria favored by Nivo. The evidence primarily describes its hotel operations and management structure without clear product differentiation or repeat purchase indicators.",Hospitality company|Group branding,low,low,72.0,True
29.8,service_company,Bravida Sverige AB,low,"Homepage: offers technical solutions for buildings and infrastructure|About: history as a construction and installation company|Products: services include electrical, heating, plumbing, and ventilation installations",https://www.bravida.se|https://www.bravida.se/om-bravida/bravidas-historia/|https://www.bravida.se/vart-erbjudande/,0.2,https://www.bravida.se,True,False,False,False,True,True,low,installer,5561974188,3,"The company primarily operates as an installation service provider for buildings and infrastructure, which does not align with Nivo's focus on product-led businesses. The evidence suggests a heavy reliance on service and installation without clear product differentiation or repeat purchase indicators.",Service-heavy business model|Installation-focused operations|Parent/group branding,low,low,70.0,False
34.25,unknown,Ahlsell Sverige AB,low,Homepage: offers a wide range of products for professionals|Brands page: lists various brands without proprietary products,https://www.ahlsell.se|https://www.ahlsell.se/varumarken/|https://www.ahlsell.se/butiker/,0.25,https://www.ahlsell.se,False,False,True,False,False,False,low,unknown,5560129206,3,"The website primarily describes Ahlsell as a distributor of various products for professionals, indicating a generic distribution model without clear product differentiation or unique offerings. There is no evidence of proprietary brands or a strong niche focus.",generic distributor model,low,low,80.0,False
