fit_rank,orgnr,company_name,official_website_url,gpt_about_source_url,is_fit_for_nivo,fit_confidence,stage1_total_score,blended_score,business_type,operating_model,reason_summary,niche_indicator,differentiation_indicator,repeat_purchase_indicator,scalable_business_indicator,red_flags,evidence,gpt_about_confidence,is_construction_or_installation,is_generic_distributor,is_hospitality_or_property_company,is_service_heavy,is_subsidiary_or_group_company
1,556458-3051,Kafab Förpackning Aktiebolag,https://frontpac.com,https://frontpac.com,True,0.8,90.4713,84.1885,product_company,manufacturer,"Kafab Förpackning is a manufacturer of packaging solutions, indicating a strong product focus with potential for repeat purchases. Its comprehensive service offerings enhance its market position.",medium,high,high,medium,,"Homepage: complete packaging manufacturer|About: design, construction, manufacturing under one roof",0.9,False,False,False,False,False
2,556690-1285,Galdax AB,https://www.galdax.se,https://www.galdax.se,True,0.8,89.1345,83.6538,product_company,manufacturer,"Galdax AB manufactures eco-friendly truck tires, indicating a strong product focus with a niche market. Their production of retreaded tires suggests repeat purchases.",high,high,high,medium,,Homepage: leading manufacturer of eco-friendly truck tires|About: cost-effective tire solutions,0.9,False,False,False,False,False
3,556343-7200,Talurit Aktiebolag,https://www.talurit.com,https://www.talurit.com,True,0.8,88.7432,83.4973,product_company,manufacturer,"Talurit specializes in wire rope equipment, indicating a strong product focus with potential for repeat purchases. Their long-standing industry presence enhances credibility.",medium,high,medium,medium,,Homepage: wire rope specialists|About: innovative solutions since 1948,0.9,False,False,False,False,False
4,556295-4569,Umlax Aktiebolag,https://umlax.se/,https://www.umlax.se/om-umlax/,True,0.8,85.7214,82.2886,product_company,manufacturer,"Umlax Aktiebolag is a leading producer of mountain char with a focus on research and business, indicating a strong product-led model. They have a significant workforce and multiple facilities, suggesting scalability and differentiation in their niche market.",high,high,medium,high,,Homepage: market leader in mountain char|About: over 40 employees across six facilities,1.0,False,False,False,False,False
5,556314-8153,Comex Electronics Aktiebolag,https://www.comex.se/,https://www.comex.se/,True,0.8,84.8218,81.9287,product_company,manufacturer,"Comex Electronics Aktiebolag specializes in high-security IT solutions for defense and government sectors, indicating a strong product focus and high differentiation. Their comprehensive offerings and established reputation suggest scalability and potential for repeat business.",high,high,medium,high,,About: high-security IT solutions for defense|Experience: decades in hardware and software development,1.0,False,False,False,False,False
6,556371-8526,Norteam AB,https://www.norteam.se,https://www.norteam.se/om-oss,True,0.8,83.5559,81.4224,product_company,software,"Norteam AB focuses on cloud-based IT solutions, leveraging Microsoft technologies. Their emphasis on tailored solutions and IT support indicates a product-led approach.",medium,high,medium,high,,Focus on cloud-based solutions|Expertise in Microsoft ecosystem|Offers tailored IT solutions,1.0,False,False,False,True,False
7,556546-2206,Reason Studios Aktiebolag,https://www.reasonstudios.com,https://www.reasonstudios.com,True,0.8,82.8317,81.1327,product_company,software,"Reason Studios develops a comprehensive music production software called Reason, which functions as a virtual rack for creating music. This indicates a strong product focus and potential for repeat purchases.",high,high,medium,high,,Homepage: music production software Reason|About: virtual rack for music creation,1.0,False,False,False,False,False
8,556472-5447,Cegeka Applications AB,https://www.cegeka.com,https://www.cegeka.com,True,0.8,82.1508,80.8603,product_company,software,"Cegeka is an IT company offering various technology solutions, indicating a strong product focus with potential for repeat purchases and scalability.",high,high,medium,high,,"About: offers solutions in hybrid cloud and AI|About: global company with 9,000 employees",0.9,False,False,False,False,False
9,556076-0497,MEMO AB,https://memo.se,https://memo.se,True,0.8,80.8262,80.3305,product_company,manufacturer,"MEMO AB manufactures specialized plastic components for industrial products, indicating a strong product focus and potential for repeat purchases.",medium,high,medium,medium,,Manufactures smart plastic components for industrial products.,0.9,False,False,False,False,False
10,556455-8244,GMV Sweden Aktiebolag,https://www.gmv.se,https://www.gmv.se,True,0.8,79.1629,79.6651,product_company,manufacturer,"GMV Sweden AB is a manufacturer of elevators and components, indicating a strong product focus and potential for repeat purchases.",medium,medium,medium,high,,Manufacturer of elevators and components|Offers a wide range of products including passenger and freight elevators,0.9,False,False,False,False,False
11,556198-1308,Busch Pfeiffer Vacuum AB,https://www.buschvacuum.com/se/sv/,https://www.buschvacuum.com/se/sv/,True,0.8,79.1071,79.6429,product_company,manufacturer,"Busch Pfeiffer Vacuum AB specializes in vacuum pumps and systems, indicating a strong product-led business model with high differentiation and repeat purchase potential.",medium,high,high,high,,Leading supplier of vacuum pumps and systems|Offers tailored solutions for various processes,0.9,False,False,False,False,False
12,556132-1745,Fillauer Europe AB,https://fillauer.com,https://fillauer.com,True,0.8,78.2709,79.3084,product_company,manufacturer,"Fillauer Europe AB specializes in innovative orthotic and prosthetic products, indicating a strong product focus and differentiation in the healthcare sector.",high,high,medium,high,,"About: innovative orthotic and prosthetic products|Products include upper and lower prosthetics, orthotics, and fabrication equipment",0.9,False,False,False,False,False
13,556762-5495,Panthera AB,https://www.panthera.se,https://www.panthera.se,True,0.8,77.6234,79.0494,product_company,manufacturer,"Panthera AB manufactures lightweight wheelchairs and offers a range of products, indicating a strong product focus. They also distribute specific back systems, which supports a differentiated business model.",high,high,medium,medium,,"Homepage: world's lightest wheelchairs|Products: Panthera X, U3 Light, S3 Swing, preTech cushion",0.9,False,False,False,False,False
14,556924-1671,Pelago Bioscience AB,https://www.pelagobio.com,https://www.pelagobio.com,True,0.8,76.7582,78.7033,product_company,manufacturer,"Pelago Bioscience offers a unique CETSA® technology used in drug development, indicating a strong product focus and repeat business with major pharmaceutical clients.",high,high,high,high,,About: CETSA® technology for protein behavior|About: over 350 customers including top pharma companies,0.9,False,False,False,False,False
